id,name,lesson_id,background_color
217401532,L3 GRAMÁTICA - 3.2 Possessive adjectives,200,#17A46A
217401533,L3 GRAMÁTICA - 3.3 Present tense of regular <b><i>&ndash;er</i></b> and <b><i>&ndash;ir</i></b> verbs,200,#17A46A
217401534,L3 GRAMÁTICA - 3.4 Present tense of <b><i>tener</i></b> and <b><i>venir</i></b>,200,#17A46A
217500000,L3 LECTURA,200,#5B57A6
217800000,L3 VOCABULARIO,200,#FFD503
217300000,L3 FLASH CULTURA,200,#E0861B
217900000,L4 PREPARACIÓN,201,#ED1C24
218100000,L4 PRONUNCIACIÓN,201,#ED1C24
218000000,L4 AVENTURAS,201,#007DC6
218300000,L4 EXPLORACIÓN,201,#E0861B
218501535,L4 GRAMÁTICA - 4.1 Present tense of <b><i>ir</i></b>,201,#17A46A
218501536,"L4 GRAMÁTICA - 4.2 Stem-changing verbs: <b><i>e &ndash;> ie, o &ndash;> ue</i></b>",201,#17A46A
218501537,L4 GRAMÁTICA - 4.3 Stem-changing verbs: <b><i>e -> i</i></b>,201,#17A46A
218501538,L4 GRAMÁTICA - 4.4 Verbs with irregular <b><i>yo</i></b> forms,201,#17A46A
218701608,L4 AVENTURAS EN LOS PAÍSES HISPANOS - México,201,#BD1547
218400000,L4 FLASH CULTURA,201,#E0861B
219000000,L5 PREPARACIÓN,202,#ED1C24
219200000,L5 PRONUNCIACIÓN,202,#ED1C24
219100000,L5 AVENTURAS,202,#007DC6
219400000,L5 EXPLORACIÓN,202,#E0861B
219601539,L5 GRAMÁTICA - 5.1 <b><i>Estar</i></b> with conditions and emotions,202,#17A46A
219601540,L5 GRAMÁTICA - 5.2 The present progressive,202,#17A46A
219601541,L5 GRAMÁTICA - 5.3 Comparing <b><i>ser</i></b> and <b><i>estar</i></b>,202,#17A46A
219601542,L5 GRAMÁTICA - 5.4 Direct object nouns and pronouns,202,#17A46A
219700000,L5 LECTURA,202,#5B57A6
220000000,L5 VOCABULARIO,202,#FFD503
219500000,L5 FLASH CULTURA,202,#E0861B
220100000,L6 PREPARACIÓN,203,#ED1C24
220300000,L6 PRONUNCIACIÓN,203,#ED1C24
220200000,L6 AVENTURAS,203,#007DC6
220500000,L6 EXPLORACIÓN,203,#E0861B
220701543,L6 GRAMÁTICA - 6.1 Numbers 101 and higher,203,#17A46A
220701544,L6 GRAMÁTICA - 6.2 Preterite tense of regular verbs,203,#17A46A
220701545,L6 GRAMÁTICA - 6.3 Indirect object pronouns,203,#17A46A
220701546,L6 GRAMÁTICA - 6.4 Demonstrative adjectives and pronouns,203,#17A46A
220800000,L6 LECTURA,203,#5B57A6
221100000,L6 VOCABULARIO,203,#FFD503
220901638,L6 AVENTURAS EN LOS PAÍSES HISPANOS - El Caribe,203,#BD1547
220901646,L6 AVENTURAS EN LOS PAÍSES HISPANOS - Puerto Rico,203,#BD1547
220901647,L6 AVENTURAS EN LOS PAÍSES HISPANOS - Cuba,203,#BD1547
220901648,L6 AVENTURAS EN LOS PAÍSES HISPANOS - La República Dominicana,203,#BD1547
220600000,L6 FLASH CULTURA,203,#E0861B
221200000,L7 PREPARACIÓN,204,#ED1C24
221400000,L7 PRONUNCIACIÓN,204,#ED1C24
221300000,L7 AVENTURAS,204,#007DC6
221600000,L7 EXPLORACIÓN,204,#E0861B
221801547,L7 GRAMÁTICA - 7.1 Reflexive verbs,204,#17A46A
221801548,L7 GRAMÁTICA - 7.2 Indefinite and negative words,204,#17A46A
221801549,L7 GRAMÁTICA - 7.3 Preterite of <b><i>ser</i></b> and <b><i>ir</i></b>,204,#17A46A
221801550,L7 GRAMÁTICA - 7.4 <b><i>Gustar</i></b> and verbs like <b><i>gustar</i></b>,204,#17A46A
221900000,L7 LECTURA,204,#5B57A6
222200000,L7 VOCABULARIO,204,#FFD503
221700000,L7 FLASH CULTURA,204,#E0861B
222300000,L8 PREPARACIÓN,205,#ED1C24
222500000,L8 PRONUNCIACIÓN,205,#ED1C24
222400000,L8 AVENTURAS,205,#007DC6
222700000,L8 EXPLORACIÓN,205,#E0861B
222901551,L8 GRAMÁTICA - 8.1 Preterite of stem-changing verbs,205,#17A46A
222901552,L8 GRAMÁTICA - 8.2 Double object pronouns,205,#17A46A
222901553,L8 GRAMÁTICA - 8.3 <b><i>Saber</i></b> and <b><i>conocer</i></b>,205,#17A46A
222901554,L8 GRAMÁTICA - 8.4 Comparatives and Superlatives,205,#17A46A
223000000,L8 LECTURA,205,#5B57A6
223300000,L8 VOCABULARIO,205,#FFD503
223101639,L8 AVENTURAS EN LOS PAÍSES HISPANOS - Suramérica I,205,#BD1547
223101649,L8 AVENTURAS EN LOS PAÍSES HISPANOS - Venezuela,205,#BD1547
223101650,L8 AVENTURAS EN LOS PAÍSES HISPANOS - Colombia,205,#BD1547
223101651,L8 AVENTURAS EN LOS PAÍSES HISPANOS - Ecuador,205,#BD1547
223101652,L8 AVENTURAS EN LOS PAÍSES HISPANOS - Perú,205,#BD1547
222800000,L8 FLASH CULTURA,205,#E0861B
223400000,L9 PREPARACIÓN,206,#ED1C24
223600000,L9 PRONUNCIACIÓN,206,#ED1C24
223500000,L9 AVENTURAS,206,#007DC6
223800000,L9 EXPLORACIÓN,206,#E0861B
224001555,L9 GRAMÁTICA - 9.1 Irregular preterites,206,#17A46A
224001556,L9 GRAMÁTICA - 9.2 Verbs that change meaning in the preterite,206,#17A46A
224001557,L9 GRAMÁTICA - 9.3 Relative pronouns,206,#17A46A
224001558,L9 GRAMÁTICA - 9.4 <b><i>¿Qué?</i></b> and <b><i>¿cuál?</i></b>,206,#17A46A
224100000,L9 LECTURA,206,#5B57A6
224400000,L9 VOCABULARIO,206,#FFD503
223900000,L9 FLASH CULTURA,206,#E0861B
224500000,L10 PREPARACIÓN,207,#ED1C24
224700000,L10 PRONUNCIACIÓN,207,#ED1C24
224800000,L10 ORTOGRAFÍA,207,#ED1C24
224600000,L10 AVENTURAS,207,#007DC6
224900000,L10 EXPLORACIÓN,207,#E0861B
225101559,L10 GRAMÁTICA - 10.1 The imperfect tense,207,#17A46A
225101560,L10 GRAMÁTICA - 10.2 Constructions with <b><i>se</i></b>,207,#17A46A
225101561,L10 GRAMÁTICA - 10.3 Adverbs,207,#17A46A
225101562,L10 GRAMÁTICA - 10.4 ,207,#17A46A
225200000,L10 LECTURA,207,#5B57A6
225500000,L10 VOCABULARIO,207,#FFD503
225301640,L10 AVENTURAS EN LOS PAÍSES HISPANOS - Suramérica II,207,#BD1547
225301653,L10 AVENTURAS EN LOS PAÍSES HISPANOS - Argentina,207,#BD1547
225301654,L10 AVENTURAS EN LOS PAÍSES HISPANOS - Chile,207,#BD1547
225301655,L10 AVENTURAS EN LOS PAÍSES HISPANOS - Uruguay,207,#BD1547
225301656,L10 AVENTURAS EN LOS PAÍSES HISPANOS - Paraguay,207,#BD1547
225301657,L10 AVENTURAS EN LOS PAÍSES HISPANOS - Bolivia,207,#BD1547
225000000,L10 FLASH CULTURA,207,#E0861B
225600000,L11 PREPARACIÓN,208,#ED1C24
225800000,L11 PRONUNCIACIÓN,208,#ED1C24
225900000,L11 ORTOGRAFÍA,208,#ED1C24
225700000,L11 AVENTURAS,208,#007DC6
226000000,L11 EXPLORACIÓN,208,#E0861B
226201563,L11 GRAMÁTICA - 11.1 The preterite and the imperfect,208,#17A46A
226201564,L11 GRAMÁTICA - 11.2 <b><i>Por</i></b> and <b><i>para</i></b>,208,#17A46A
226201565,L11 GRAMÁTICA - 11.3 Stressed possessive adjectives and pronouns,208,#17A46A
226201566,L11 GRAMÁTICA - 11.4 ,208,#17A46A
226300000,L11 LECTURA,208,#5B57A6
226600000,L11 VOCABULARIO,208,#FFD503
226100000,L11 FLASH CULTURA,208,#E0861B
226700000,L12 PREPARACIÓN,209,#ED1C24
226900000,L12 PRONUNCIACIÓN,209,#ED1C24
227000000,L12 ORTOGRAFÍA,209,#ED1C24
226800000,L12 AVENTURAS,209,#007DC6
227100000,L12 EXPLORACIÓN,209,#E0861B
227301567,L12 GRAMÁTICA - 12.1 Usted and Ustedes commands,209,#17A46A
227301568,L12 GRAMÁTICA - 12.2 The present subjunctive,209,#17A46A
227301569,L12 GRAMÁTICA - 12.3 Subjunctive with verbs of will and influence,209,#17A46A
227301570,L12 GRAMÁTICA - 12.4 ,209,#17A46A
227400000,L12 LECTURA,209,#5B57A6
227700000,L12 VOCABULARIO,209,#FFD503
227501641,L12 AVENTURAS EN LOS PAÍSES HISPANOS - América Central I,209,#BD1547
227501658,L12 AVENTURAS EN LOS PAÍSES HISPANOS - Guatemala,209,#BD1547
227501659,L12 AVENTURAS EN LOS PAÍSES HISPANOS - Honduras,209,#BD1547
227501660,L12 AVENTURAS EN LOS PAÍSES HISPANOS - El Salvador,209,#BD1547
227200000,L12 FLASH CULTURA,209,#E0861B
227800000,L13 PREPARACIÓN,210,#ED1C24
228000000,L13 PRONUNCIACIÓN,210,#ED1C24
228100000,L13 ORTOGRAFÍA,210,#ED1C24
227900000,L13 AVENTURAS,210,#007DC6
228200000,L13 EXPLORACIÓN,210,#E0861B
228401571,L13 GRAMÁTICA - 13.1 The subjunctive with verbs of emotion,210,#17A46A
228401572,"L13 GRAMÁTICA - 13.2 The subjunctive with doubt, disbelief, and denial",210,#17A46A
228401573,L13 GRAMÁTICA - 13.3 The subjunctive with conjunctions,210,#17A46A
228500000,L13 LECTURA,210,#5B57A6
228800000,L13 VOCABULARIO,210,#FFD503
228300000,L13 FLASH CULTURA,210,#E0861B
228900000,L14 PREPARACIÓN,211,#ED1C24
229100000,L14 PRONUNCIACIÓN,211,#ED1C24
229200000,L14 ORTOGRAFÍA,211,#ED1C24
229000000,L14 AVENTURAS,211,#007DC6
229300000,L14 EXPLORACIÓN,211,#E0861B
229501574,L14 GRAMÁTICA - 14.1 The subjunctive in adjective clauses,211,#17A46A
229501575,L14 GRAMÁTICA - 14.2 Familiar (<b><i>tú</i></b>) commands,211,#17A46A
229501576,L14 GRAMÁTICA - 14.3 <b><i>Nosotros/as</i></b> commands,211,#17A46A
229600000,L14 LECTURA,211,#5B57A6
229900000,L14 VOCABULARIO,211,#FFD503
229701642,L14 AVENTURAS EN LOS PAÍSES HISPANOS - América Central II,211,#BD1547
229701661,L14 AVENTURAS EN LOS PAÍSES HISPANOS - Nicaragua,211,#BD1547
229701662,L14 AVENTURAS EN LOS PAÍSES HISPANOS - Costa Rica,211,#BD1547
229701663,L14 AVENTURAS EN LOS PAÍSES HISPANOS - Panamá,211,#BD1547
229400000,L14 FLASH CULTURA,211,#E0861B
230000000,L15 PREPARACIÓN,212,#ED1C24
230200000,L15 PRONUNCIACIÓN,212,#ED1C24
230300000,L15 ORTOGRAFÍA,212,#ED1C24
230100000,L15 AVENTURAS,212,#007DC6
230400000,L15 EXPLORACIÓN,212,#E0861B
230601577,L15 GRAMÁTICA - 15.1 Past participles used as adjectives,212,#17A46A
230601578,L15 GRAMÁTICA - 15.2 The present perfect,212,#17A46A
230601579,L15 GRAMÁTICA - 15.3 The past perfect,212,#17A46A
230700000,L15 LECTURA,212,#5B57A6
231000000,L15 VOCABULARIO,212,#FFD503
230500000,L15 FLASH CULTURA,212,#E0861B
231100000,L16 PREPARACIÓN,213,#ED1C24
231300000,L16 PRONUNCIACIÓN,213,#ED1C24
231400000,L16 ORTOGRAFÍA,213,#ED1C24
231200000,L16 AVENTURAS,213,#007DC6
231500000,L16 EXPLORACIÓN,213,#E0861B
231701580,L16 GRAMÁTICA - 16.1 The future tense,213,#17A46A
231701581,L16 GRAMÁTICA - 16.2 The conditional tense,213,#17A46A
231701582,L16 GRAMÁTICA - 16.3 The past subjunctive,213,#17A46A
231800000,L16 LECTURA,213,#5B57A6
231901643,L16 AVENTURAS EN LOS PAÍSES HISPANOS - España,213,#BD1547
231600000,L16 FLASH CULTURA,213,#E0861B
