id,study_schedule_id,assignable_id,due_date,assignable_type
113,101,40581,"2009-02-25",Activity
114,101,40579,"2009-02-25",Activity
115,101,40572,"2009-02-25",Activity
116,101,40570,"2009-02-25",Activity
117,101,40593,"2009-02-25",Activity
118,101,40596,"2009-02-25",Activity
119,101,40600,"2009-02-25",Activity
120,101,40604,"2009-02-25",Activity
121,101,40607,"2009-02-25",Activity
122,101,55196,"2009-02-25",Activity
123,101,55200,"2009-02-25",Activity
124,101,55202,"2009-02-25",Activity
125,101,55205,"2009-02-25",Activity
126,101,55208,"2009-02-25",Activity
127,101,40563,"2009-02-25",Activity
128,101,40560,"2009-02-25",Activity
131,101,35266,"2009-02-25",Activity
132,101,40538,"2009-02-25",Activity
133,101,40541,"2009-02-25",Activity
134,101,48562,"2009-02-25",Activity
135,101,55092,"2009-02-25",Activity
136,101,55097,"2009-02-25",Activity
140,101,55960,"2009-02-27",Activity
141,101,21045,"2009-02-27",Activity
142,101,24889,"2009-02-27",Activity
143,101,40807,"2009-02-27",Activity
144,101,48409,"2009-02-27",Activity
145,101,55966,"2009-02-27",Activity
146,101,55968,"2009-02-27",Activity
147,101,24905,"2009-02-27",Activity
148,102,39964,"2009-01-24",Activity
151,102,51028,"2009-01-24",Activity
152,102,33635,"2009-01-24",Activity
153,102,51025,"2009-01-24",Activity
154,102,39968,"2009-01-24",Activity
155,102,39978,"2009-01-24",Activity
156,102,39990,"2009-01-24",Activity
158,102,51020,"2009-01-24",Activity
161,102,51022,"2009-01-24",Activity
167,102,33634,"2009-01-24",Activity
168,102,51191,"2009-01-29",Activity
169,102,41504,"2009-01-29",Activity
170,102,51223,"2009-01-29",Activity
171,102,41355,"2009-01-29",Activity
172,102,36355,"2009-01-29",Activity
173,102,51089,"2009-01-29",Activity
174,102,51229,"2009-01-31",Activity
175,102,41520,"2009-01-31",Activity
176,102,41512,"2009-01-31",Activity
177,102,41509,"2009-01-31",Activity
178,102,20266,"2009-01-31",Activity
182,102,14499,"2009-01-31",Activity
183,102,14486,"2009-01-31",Activity
184,102,40309,"2009-01-31",Activity
185,102,33508,"2009-01-31",Activity
186,102,12838,"2009-01-31",Activity
187,102,12830,"2009-01-31",Activity
189,102,40324,"2009-01-31",Activity
190,102,41522,"2009-02-03",Activity
191,102,41526,"2009-02-03",Activity
192,102,51238,"2009-02-03",Activity
193,102,51245,"2009-02-03",Activity
194,102,51255,"2009-02-05",Activity
195,102,51250,"2009-02-05",Activity
196,102,51248,"2009-02-05",Activity
197,102,41579,"2009-02-07",Activity
198,102,41576,"2009-02-07",Activity
199,102,41570,"2009-02-07",Activity
200,102,41553,"2009-02-07",Activity
201,102,41546,"2009-02-07",Activity
202,102,41538,"2009-02-07",Activity
203,102,51097,"2009-02-10",Activity
204,102,51102,"2009-02-10",Activity
205,102,51105,"2009-02-10",Activity
206,102,51107,"2009-02-10",Activity
207,102,51110,"2009-02-10",Activity
208,102,51115,"2009-02-10",Activity
209,102,51121,"2009-02-10",Activity
210,102,51122,"2009-02-10",Activity
211,102,51124,"2009-02-10",Activity
215,102,41399,"2009-02-10",Activity
216,102,41392,"2009-02-10",Activity
221,102,33695,"2009-02-10",Activity
222,102,34042,"2009-02-10",Activity
223,102,41369,"2009-02-10",Activity
224,102,41371,"2009-02-10",Activity
225,102,41374,"2009-02-10",Activity
226,102,41377,"2009-02-10",Activity
227,102,41380,"2009-02-10",Activity
228,102,51354,"2009-02-14",Activity
229,102,20628,"2009-02-14",Activity
230,102,40726,"2009-02-14",Activity
231,102,40728,"2009-02-14",Activity
232,102,55391,"2009-02-14",Activity
233,102,51350,"2009-02-14",Activity
234,102,48579,"2009-02-14",Activity
235,102,33547,"2009-02-14",Activity
236,102,51348,"2009-02-14",Activity
237,102,35043,"2009-02-14",Activity
238,102,18717,"2009-02-14",Activity
239,102,21334,"2009-02-14",Activity
240,102,55402,"2009-02-17",Activity
241,102,40738,"2009-02-17",Activity
242,102,40735,"2009-02-17",Activity
243,102,40733,"2009-02-17",Activity
244,102,40731,"2009-02-17",Activity
245,102,20658,"2009-02-17",Activity
246,102,55407,"2009-02-19",Activity
247,102,40746,"2009-02-19",Activity
248,102,17032,"2009-02-19",Activity
249,102,55422,"2009-02-21",Activity
250,102,55417,"2009-02-21",Activity
251,102,55415,"2009-02-21",Activity
252,102,55412,"2009-02-21",Activity
253,102,55409,"2009-02-21",Activity
254,102,40768,"2009-02-21",Activity
255,102,40761,"2009-02-21",Activity
256,102,40757,"2009-02-21",Activity
257,102,40591,"2009-02-26",Activity
258,102,40589,"2009-02-26",Activity
259,102,40585,"2009-02-26",Activity
260,102,40581,"2009-02-26",Activity
261,102,40579,"2009-02-26",Activity
262,102,40572,"2009-02-26",Activity
263,102,40570,"2009-02-26",Activity
264,102,40593,"2009-02-26",Activity
265,102,40596,"2009-02-26",Activity
266,102,40600,"2009-02-26",Activity
267,102,40604,"2009-02-26",Activity
268,102,40607,"2009-02-26",Activity
269,102,55196,"2009-02-26",Activity
270,102,55200,"2009-02-26",Activity
271,102,55202,"2009-02-26",Activity
272,102,55205,"2009-02-26",Activity
273,102,55208,"2009-02-26",Activity
274,102,40563,"2009-02-26",Activity
275,102,40560,"2009-02-26",Activity
278,102,35266,"2009-02-26",Activity
279,102,40538,"2009-02-26",Activity
280,102,40541,"2009-02-26",Activity
281,102,48562,"2009-02-26",Activity
282,102,55092,"2009-02-26",Activity
283,102,55097,"2009-02-26",Activity
287,102,55960,"2009-02-28",Activity
288,102,21045,"2009-02-28",Activity
289,102,24889,"2009-02-28",Activity
290,102,40807,"2009-02-28",Activity
291,102,48409,"2009-02-28",Activity
292,102,55966,"2009-02-28",Activity
293,102,55968,"2009-02-28",Activity
294,102,24905,"2009-02-28",Activity
295,103,39964,"2009-01-25",Activity
298,103,51028,"2009-01-25",Activity
299,103,33635,"2009-01-25",Activity
300,103,51025,"2009-01-25",Activity
301,103,39968,"2009-01-25",Activity
302,103,39978,"2009-01-25",Activity
303,103,39990,"2009-01-25",Activity
305,103,51020,"2009-01-25",Activity
308,103,51022,"2009-01-25",Activity
314,103,33634,"2009-01-25",Activity
315,103,51191,"2009-01-30",Activity
316,103,41504,"2009-01-30",Activity
317,103,51223,"2009-01-30",Activity
318,103,41355,"2009-01-30",Activity
319,103,36355,"2009-01-30",Activity
320,103,51089,"2009-01-30",Activity
321,103,51229,"2009-02-01",Activity
322,103,41520,"2009-02-01",Activity
323,103,41512,"2009-02-01",Activity
324,103,41509,"2009-02-01",Activity
325,103,20266,"2009-02-01",Activity
329,103,14499,"2009-02-01",Activity
330,103,14486,"2009-02-01",Activity
331,103,40309,"2009-02-01",Activity
332,103,33508,"2009-02-01",Activity
333,103,12838,"2009-02-01",Activity
334,103,12830,"2009-02-01",Activity
336,103,40324,"2009-02-01",Activity
337,103,41522,"2009-02-04",Activity
338,103,41526,"2009-02-04",Activity
339,103,51238,"2009-02-04",Activity
340,103,51245,"2009-02-04",Activity
341,103,51255,"2009-02-06",Activity
342,103,51250,"2009-02-06",Activity
343,103,51248,"2009-02-06",Activity
344,103,41579,"2009-02-08",Activity
345,103,41576,"2009-02-08",Activity
346,103,41570,"2009-02-08",Activity
347,103,41553,"2009-02-08",Activity
348,103,41546,"2009-02-08",Activity
349,103,41538,"2009-02-08",Activity
350,103,51097,"2009-02-11",Activity
351,103,51102,"2009-02-11",Activity
352,103,51105,"2009-02-11",Activity
353,103,51107,"2009-02-11",Activity
354,103,51110,"2009-02-11",Activity
355,103,51115,"2009-02-11",Activity
356,103,51121,"2009-02-11",Activity
357,103,51122,"2009-02-11",Activity
358,103,51124,"2009-02-11",Activity
362,103,41399,"2009-02-11",Activity
363,103,41392,"2009-02-11",Activity
368,103,33695,"2009-02-11",Activity
369,103,34042,"2009-02-11",Activity
370,103,41369,"2009-02-11",Activity
371,103,41371,"2009-02-11",Activity
372,103,41374,"2009-02-11",Activity
373,103,41377,"2009-02-11",Activity
374,103,41380,"2009-02-11",Activity
375,103,51354,"2009-02-15",Activity
376,103,20628,"2009-02-15",Activity
377,103,40726,"2009-02-15",Activity
378,103,40728,"2009-02-15",Activity
379,103,55391,"2009-02-15",Activity
380,103,51350,"2009-02-15",Activity
381,103,48579,"2009-02-15",Activity
382,103,33547,"2009-02-15",Activity
383,103,51348,"2009-02-15",Activity
384,103,35043,"2009-02-15",Activity
385,103,18717,"2009-02-15",Activity
386,103,21334,"2009-02-15",Activity
387,103,55402,"2009-02-18",Activity
388,103,40738,"2009-02-18",Activity
389,103,40735,"2009-02-18",Activity
390,103,40733,"2009-02-18",Activity
391,103,40731,"2009-02-18",Activity
392,103,20658,"2009-02-18",Activity
393,103,55407,"2009-02-20",Activity
394,103,40746,"2009-02-20",Activity
395,103,17032,"2009-02-20",Activity
396,103,55422,"2009-02-22",Activity
397,103,55417,"2009-02-22",Activity
398,103,55415,"2009-02-22",Activity
399,103,55412,"2009-02-22",Activity
400,103,55409,"2009-02-22",Activity
401,103,40768,"2009-02-22",Activity
402,103,40761,"2009-02-22",Activity
403,103,40757,"2009-02-22",Activity
404,103,40591,"2009-02-27",Activity
405,103,40589,"2009-02-27",Activity
406,103,40585,"2009-02-27",Activity
407,103,40581,"2009-02-27",Activity
408,103,40579,"2009-02-27",Activity
409,103,40572,"2009-02-27",Activity
410,103,40570,"2009-02-27",Activity
411,103,40593,"2009-02-27",Activity
412,103,40596,"2009-02-27",Activity
413,103,40600,"2009-02-27",Activity
414,103,40604,"2009-02-27",Activity
415,103,40607,"2009-02-27",Activity
416,103,55196,"2009-02-27",Activity
417,103,55200,"2009-02-27",Activity
418,103,55202,"2009-02-27",Activity
419,103,55205,"2009-02-27",Activity
420,103,55208,"2009-02-27",Activity
421,103,40563,"2009-02-27",Activity
422,103,40560,"2009-02-27",Activity
425,103,35266,"2009-02-27",Activity
426,103,40538,"2009-02-27",Activity
427,103,40541,"2009-02-27",Activity
428,103,48562,"2009-02-27",Activity
429,103,55092,"2009-02-27",Activity
430,103,55097,"2009-02-27",Activity
434,103,55960,"2009-03-01",Activity
435,103,21045,"2009-03-01",Activity
436,103,24889,"2009-03-01",Activity
437,103,40807,"2009-03-01",Activity
438,103,48409,"2009-03-01",Activity
439,103,55966,"2009-03-01",Activity
440,103,55968,"2009-03-01",Activity
441,103,24905,"2009-03-01",Activity
