id,component,structure
12766,VM,"FB,10,0"
12782,WB,"FB,10,0"
12784,WB,"FB,20,0"
12791,WB,"FB,6,0"
12826,LM,"MC,8,0"
12830,LM,"DS,8,0"
12838,LM,"MC,6,0"
12877,VM,"OE,6,0"
12881,VM,"OE,5,0"
12883,VM,"OE,1,0"
12951,WB,"FB,8,0"
12999,GT,
13002,GT,
13005,GT,
13007,GT,
13013,GT,
13015,GT,
13017,GT,
13019,GT,
13025,GT,
13030,GT,
13032,GT,
13034,GT,
13036,GT,
13231,GT,
13479,LM,"FB,4,0"
13497,LM,"FB,4,0"
13530,VM,"MC,1,0"
13531,VM,"FB,5,0"
13532,VM,"FB,5,0"
13580,VM,"DS,6,0"
13581,VM,"MC,6,0"
13583,VM,"MC,5,0"
13671,GT,
13672,GT,
13673,GT,
13674,GT,
13675,GT,
13678,GT,
13681,GT,
13682,GT,
13684,GT,
13685,GT,
13686,GT,
13687,GT,
13688,GT,
13691,GT,
13692,GT,
13694,GT
13698,GT
13701,GT
13704,GT
13707,GT
13710,GT
13711,GT
13715,GT
13719,GT
13722,GT
13723,GT
13724,GT
13729,GT
13732,GT
13735,GT
13743,SS
13747,SS,"MC,5,0"
13749,SS,"FB,5,0"
13753,SS,"DS,4,0"
13758,SS,
13792,SS,
13979,SS,
13984,SS,
14181,WB,"MC,6,0"
14226,SS,
14227,SS,
14228,SS,
14423,WB,"MC,6,0"
14478,WB,"OE,4,0"
14486,LM,"MC,4,0"
14499,VM,"DS,6,0"
15735,SS,"MC,5,0"
15857,SS,"MC,5,0"
15860,SS,
15890,SS,
15932,SS,
17032,WB,"FB,6,0"
17123,VM,"MC,10,0"
17127,VM,"MC,6,0"
17129,VM,"OE,5,0"
17199,WB,"FB,8,0"
17203,WB,"FB,6,0"
17657,WB,"FB,8,0"
17659,WB,"FB,8,0"
17661,WB,"FB,6,0"
17738,LM,"MC,8,0"
17741,VM,"OE,5,0"
18160,LM,"MC,4,0"
18166,LM,"DS,8,0"
18168,LM,"MC,3,0|MC,3,0"
18202,LM,"MC,5,0"
18206,LM,"DS,8,0"
18263,LM,"MC,6,0"
18273,SS,
18277,SS,
18304,VM,"MC,10,0"
18710,VM,"DS,5,0"
18714,VM,"OE,3,0"
18717,VM,"MC,1,0"
18718,VM,"FB,6,0"
19433,WB,"FB,6,0"
19524,VM,"MC,6,0"
20051,SS,
20266,WB,"FB,6,0"
20341,SS,
20387,SS,
20443,VM,"OE,1,0"
20447,VM,"FB,6,0"
20450,VM,"OE,1,0"
20515,SS,
20520,SS,
20577,SS,
20585,SS,"MC,8,0"
20593,SS,
20598,SS,
20628,WB,"FB,6,0"
20658,WB,"MC,6,0"
20947,GT,
20948,GT,
20949,GT,
20950,GT
20951,GT
20952,GT
20953,GT
20954,GT
20955,GT
20956,GT
20957,GT
20958,GT
20959,GT
20960,GT
20961,GT
20962,GT
20963,GT
20964,GT
20965,GT
20966,GT
20967,GT
20968,GT
20969,GT
20970,GT
20971,GT
20972,GT
20973,GT
20974,GT
20975,GT
20976,GT
20977,GT
20978,GT
20979,GT
20980,GT
20981,GT
20982,GT,
21045,VM,"MC,4,0"
21123,LM,"FB,5,0"
21138,VM,"DS,5,0"
21155,WB,"FB,6,0"
21160,WB,"FB,8,0"
21193,LM,
21205,LM,
21334,LM,"FB,8,0"
22637,LM,"OE,5,0"
22642,VM,"MC,5,0"
22790,VM,"DS,5,0|FB,5,0"
22886,LM,"OE,1,0"
22928,VM,"OE,1,0"
22986,WB,"FB,8,0"
23460,VM,"DS,5,0"
23464,VM,"OE,5,0"
23470,VM,"OE,1,0"
23483,WB,"FB,8,0"
23493,WB,"FB,8,0"
23607,SS,"FB,14,0"
23609,SS,"FB,11,0"
24232,SS,
24237,SS,
24243,SS,
24249,SS,
24529,VM,"FB,5,0"
24549,VM,"OE,1,0"
24550,VM,
24552,VM,"OE,5,0"
24558,VM,
24559,VM,"DS,6,0"
24569,VM,"FB,5,0"
24572,LM,
24574,LM,
24578,LM,
24865,VM,"FB,6,0"
24881,VM,"FB,4,0"
24885,VM,
24889,LM,"OE,1,0"
24902,VM,"OE,6,0"
24903,VM,"OE,1,0"
24904,VM,"OE,4,0"
24905,VM,"DS,5,0"
25142,SS,"FB,12,0"
25144,SS,"FB,6,0"
25169,WB,"OE,5,0"
25179,VM,"OE,1,0"
25188,LM,
25189,LM,
25190,LM,"MC,4,0"
25201,VM,"OE,1,0"
25207,LM,
25464,VM,"OE,2,0"
25469,VM,"FB,6,0"
25471,VM,"MC,5,0"
25473,VM,"MC,1,0"
25475,VM,"OE,5,0"
25481,WB,"FB,6,0"
25529,VM,"MC,6,0"
25530,VM,"FB,6,0"
25744,VM,"MC,12,0"
26101,SS,
26346,LM,"MC,6,0"
26372,SS,
26375,SS,
26377,SS,
26537,LM,"FB,5,0"
26555,LM,"MC,6,0"
26574,LM,"MC,6,0"
26585,SS,
26588,SS,"FB,5,0"
26598,WB,"FB,10,0"
26731,LM,
26735,LM,
26736,LM,
26817,LM,
27008,SS,
27253,SS,
28073,VM,"DS,3,0"
28123,LM,"MC,6,0"
28155,LM,"MC,12,0"
28188,SS,"FB,5,0"
28189,SS,"FB,5,0|FB,1,0"
28208,SS,"OE,1,0"
28209,SS,"OE,2,0"
28219,LM,"MC,4,0"
28415,GT,
28419,GT,
28446,SS,
28555,VM,"DS,6,0"
28702,LM,"DS,4,0"
28895,GT,
28896,GT,
28897,GT,
28898,GT,
28899,GT
28900,GT
28901,GT
28902,GT
28903,GT
28904,GT
28905,GT
28906,GT
28907,GT
28908,GT
28909,GT
28910,GT
28912,GT
28913,GT
28914,GT
28918,GT
28919,GT
28920,GT
28921,GT
28922,GT
28923,GT
28924,GT
28925,GT
28926,GT
28927,GT
28928,GT
28931,GT
28932,GT
28934,GT
28936,GT
28938,GT
28942,GT
28943,GT,
28944,GT,
28945,GT,
28946,GT,
29129,VM,"FB,12,0"
29136,VM,"OE,1,0"
29138,VM,"OE,1,0"
29235,LM,
29237,LM,
29239,LM,
29292,SS,"MC,8,0"
29371,WB,"FB,6,0"
29475,WB,"FB,6,0"
29477,WB,"FB,4,0"
29499,VM,"MC,6,0"
29501,VM,"OE,3,0"
29576,VM,"DS,5,0"
29579,LM,"DS,7,0"
29641,LM,"FB,4,0"
29773,VM,"MC,4,0"
29803,WB,"FB,12,0"
29806,WB,"OE,6,0|OE,2,0"
29854,GT,
29855,GT,
29856,GT,
29910,VM,"DS,8,0"
29940,SS,
29942,SS,
30075,LM,
30147,SS,"FB,8,0"
30154,LM,"FB,5,0"
30688,SS,
30715,SS,
30716,SS,
30717,SS,
30718,SS,
30719,SS,
30720,SS,
30721,SS,
30722,SS,
30723,SS,
30724,SS,
30726,SS,
30728,SS,
30729,SS,
30911,WB,"FB,4,0"
31249,SS,"DS,6,0"
31251,SS,"DS,8,0"
31255,SS,"DS,6,0|DS,4,0"
31271,SS,
31272,SS,
31963,VM,"DS,6,0"
31964,LM,"MC,8,0"
31972,WB,"OE,1,0|OE,1,0|OE,1,0|OE,1,0|OE,1,0|OE,1,0"
32017,WB,"FB,6,0"
32121,VM,
32437,VM,
32574,VM,"OE,1,0"
32577,VM,"OE,1,0"
32579,VM,"OE,1,0"
32580,VM,"OE,1,0"
32582,VM,"OE,1,0"
32583,VM,"OE,1,0"
32584,VM,"OE,1,0"
32585,VM,"OE,1,0"
32586,VM,"OE,1,0"
32588,VM,"OE,1,0"
32589,VM,"OE,1,0"
32625,WB,"FB,4,0"
32628,SS,"MC,8,0"
32630,SS,"FB,5,0"
32668,VM,"OE,4,0"
32670,VM,"DS,5,0"
32674,VM,"FB,7,0"
32683,VM,
32697,LM,
32766,SS,"FB,10,0"
32787,SS,"MC,5,0"
32825,VM,
32834,LM,"OE,4,0"
32836,LM,"OE,4,0"
32837,VM,"FB,11,0"
32869,LM,"MC,6,0"
33042,VM,"OE,3,0"
33082,VM,
33112,VM,"OE,1,0"
33147,LM,"MC,4,0"
33149,VM,"FB,4,0"
33150,VM,
33403,SS,
33424,LM,"OE,4,0"
33456,WB,"DS,8,0"
33457,WB,"FB,12,0"
33508,LM,"MC,3,0"
33526,VM,
33547,LM,"MC,6,0"
33551,LM,"MC,6,0"
33558,VM,
33559,VM,"DS,16,0"
33574,SS,"DS,6,0|DS,4,0"
33615,SS,
33626,SS,"FB,8,0"
33629,SS,"FB,5,0"
33634,SS,"FB,12,0"
33635,SS,"FB,5,0"
33648,SS,
33660,SS,"MC,5,0"
33667,SS,"MC,10,0"
33674,SS,
33676,SS,
33688,SS,
33690,SS,"MC,6,0"
33695,SS,"MC,5,0"
33718,SS,"FB,8,0"
33737,LM,"FB,11,0"
33748,WB,"FB,6,0"
33763,LM,
33765,VM,"FB,10,0"
33768,VM,
33776,SS,"DS,10,0"
34042,SS,"FB,4,0|FB,5,0|FB,5,0|FB,6,0"
34058,LM,"FB,7,0"
34070,VM,"MC,10,0"
34085,LM,
34094,SS,
34097,SS,"MC,10,0"
34156,SS,
34163,SS,"MC,6,0"
34169,SS,"FB,6,0"
34174,SS,"FB,6,0"
34179,SS,"FB,5,0"
34188,SS,"MC,10,0"
34206,SS,
34216,SS,"FB,5,0"
34233,SS,
34268,SS,
34273,SS,
34274,SS,
34276,SS,
34279,SS,
34613,SS,"MC,10,0"
35009,SS,"FB,5,0"
35021,WB,"FB,10,0"
35043,VM,"FB,5,0"
35054,VM,"DS,1,0|OE,1,0|DS,1,0|OE,1,0|DS,1,0|OE,1,0|DS,1,0|OE,1,0|DS,1,0|OE,1,0"
35069,WB,"FB,10,0"
35083,LM,
35086,LM,"MC,4,0"
35097,SS,"FB,5,0"
35127,VM,
35137,SS,"MC,5,0"
35141,SS,
35143,SS,
35152,SS,"MC,6,0"
35170,SS,"FB,20,0"
35225,LM,"FB,8,0"
35251,LM,"MC,6,0"
35266,SS,"MC,5,0"
35274,SS,
35281,SS,
35283,SS,
35301,SS,"MC,8,0"
35328,SS,"MC,10,0"
35335,SS,"MC,8,0"
35346,SS,"FB,5,0"
35374,SS,
35376,SS,"MC,5,0"
35392,SS,"FB,10,0"
35398,SS,"FB,5,0"
35401,SS,"FB,20,0"
35402,SS,"FB,6,0"
35403,SS,"FB,5,0"
35419,SS,"MC,10,0"
35421,SS,"FB,8,0"
35425,SS,"MC,5,0"
35439,SS,
35455,SS,"MC,8,0"
35528,SS,"FB,4,0|FB,6,0"
35541,SS,"DS,6,0"
35543,SS,"FB,5,0"
35549,SS,"MC,10,0"
35557,SS,"DS,8,0"
35588,SS,"DS,7,0"
35608,SS,
35611,SS,"MC,10,0"
35646,SS,
35650,SS,
35652,SS,
35654,SS,
35655,SS,
35656,SS,
35657,SS,
35659,SS,
35677,SS,"MC,8,0"
35682,SS,"FB,6,0"
35696,SS,"MC,10,0"
36065,SS,
36066,SS,
36095,WB,"FB,6,0"
36178,WB,"FB,11,0"
36305,SS,"FB,7,0"
36307,SS,"MC,12,0"
36355,WB,"FB,4,0"
36450,WB,"FB,4,0"
37324,WB,"FB,6,0"
37392,WB,"MC,6,0"
37395,WB,"DS,9,0"
37403,WB,"FB,10,0"
37462,SS,"OE,1,0"
37526,SS,"DS,8,0"
37540,SS,"FB,12,0"
37541,SS,"MC,8,0"
37615,SS,
37699,SS,"DS,6,0"
37700,SS,"DS,6,0"
37708,SS,"MC,5,0"
37709,SS,"MC,8,0"
37714,SS,"DS,4,0"
37716,SS,"FB,6,0"
37720,SS,"FB,16,0"
37721,SS,"FB,6,0"
37727,SS,"FB,37,0"
37729,SS,"MC,6,0"
37736,SS,"FB,8,0"
37738,SS,"DS,6,0"
37740,SS,"MC,6,0"
37768,WB,"FB,14,0"
37771,SS,
37777,WB,"MC,6,0"
37786,WB,"FB,8,0"
37793,WB,"FB,4,0"
37795,WB,"FB,10,0"
37840,SS,"DS,8,0"
37881,SS,"FB,10,0"
37886,SS,"MC,8,0"
37899,SS,"FB,7,0"
37976,LM,"MC,8,0"
37993,VM,
38007,SS,"DS,8,0|FB,8,0|MC,4,0"
38055,SS,"FB,6,0"
38325,VM,"OE,1,0"
38402,VM,"FB,2,0"
38403,SS,
38405,SS,"DS,8,0"
38407,SS,"DS,6,0"
38411,SS,"FB,5,0"
38415,SS,"FB,6,0"
38416,SS,"OE,3,0"
38423,SS,"FB,6,0"
38425,SS,"FB,8,0"
38428,SS,"MC,5,0"
38431,SS,"FB,5,0"
38432,SS,"FB,6,0"
38438,SS,"FB,6,0"
38450,WB,"FB,12,0"
38452,WB,"FB,10,0"
38596,WB,"DS,6,0"
38600,WB,"FB,8,0"
38601,WB,"FB,30,0"
38625,WB,"FB,10,0"
38626,WB,"FB,8,0"
38629,WB,"FB,8,0"
38630,WB,"MC,6,0"
38631,WB,"FB,7,0"
38632,WB,"FB,14,0"
38633,WB,"FB,8,0"
38637,WB,"FB,6,0"
38651,WB,"OE,1,0"
38680,WB,"DS,5,0|DS,4,0"
38681,WB,"FB,5,0"
38698,VM,"OE,4,0"
38818,SS,"MC,8,0"
38819,SS,"MC,12,0"
38821,SS,"MC,8,0"
38822,SS,"MC,8,0"
38825,SS,
38827,SS,"FB,4,0"
38834,SS,"MC,6,0"
38842,SS,"FB,8,0"
38846,SS,"MC,6,0"
38848,SS,"FB,9,0|FB,9,0"
38851,SS,"DS,6,0"
38852,SS,"FB,6,0"
38972,WB,"FB,3,0|FB,3,0"
38975,WB,"FB,10,0"
38977,WB,"FB,4,0|FB,4,0|FB,4,0"
38979,WB,"FB,5,0"
38986,WB,"FB,6,0"
38993,WB,"FB,6,0"
38994,WB,"OE,1,0"
39001,VM,"MC,5,0"
39003,VM,"MC,8,0"
39233,WB,"FB,10,0"
39235,SS,"MC,6,0"
39237,SS,"MC,10,0"
39239,SS,"MC,10,0"
39245,SS,"OE,2,0"
39250,SS,"MC,1,0"
39275,SS,"DS,6,0"
39312,SS,
39316,SS,"FB,8,0"
39318,SS,
39319,SS,
39332,WB,"OE,1,0"
39340,WB,"FB,8,0"
39344,WB,"FB,6,0"
39348,WB,"FB,6,0"
39351,WB,"FB,9,0"
39353,WB,"OE,1,0"
39366,LM,"MC,6,0"
39390,VM,"MC,15,0"
39391,VM,"FB,6,0"
39392,VM,"MC,9,0"
39393,VM,"MC,5,0"
39476,SS,"MC,8,0|DS,7,0|MC,5,0"
39477,SS,"DS,6,0|MC,3,0|MC,3,0|FB,10,0|FB,4,0"
39478,SS,"MC,8,0|FB,7,0|MC,5,0"
39487,SS,"DS,5,0"
39493,SS,"FB,7,0"
39499,SS,"MC,8,0"
39530,SS,"DS,6,0"
39533,SS,"OE,3,0"
39555,SS,"FB,4,0"
39557,SS,"FB,4,0|FB,2,0"
39583,SS,"FB,6,0"
39658,SS,"MC,6,0"
39666,VM,"DS,5,0"
39668,VM,"MC,5,0"
39670,VM,"OE,1,0"
39672,VM,"OE,1,0"
39674,VM,"FB,6,0"
39681,SS,"MC,6,0"
39683,SS,"OE,5,0"
39685,VM,"MC,5,0"
39687,VM,"OE,1,0"
39689,VM,"OE,1,0"
39695,VM,"DS,5,0"
39697,VM,"OE,1,0"
39699,VM,"OE,4,0"
39704,SS,
39706,SS,"DS,6,0"
39714,SS,"FB,5,0|FB,5,0"
39722,SS,"MC,5,0"
39738,WB,"FB,9,0"
39760,WB,"FB,10,0"
39761,WB,"FB,10,0"
39763,WB,"FB,10,0"
39766,WB,"FB,4,0"
39847,SS,"FB,6,0"
39851,SS,"FB,6,0"
39857,SS,"FB,12,0"
39862,SS,"DS,6,0"
39866,SS,"DS,8,0"
39869,SS,"FB,5,0"
39877,SS,"MC,6,0"
39899,SS,"DS,6,0"
39913,SS,"MC,10,0"
39922,SS,"MC,8,0"
39929,SS,"OE,3,0"
39964,SS,"FB,20,0"
39968,SS,"DS,6,0"
39978,SS,"FB,8,0|FB,8,0"
39983,SS,"FB,5,0|FB,6,0"
39990,SS,"FB,6,0"
40018,SS,"FB,6,0|FB,6,0"
40023,SS,"FB,16,0"
40026,SS,"FB,7,0"
40029,SS,"FB,3,0|FB,3,0"
40032,SS,"FB,20,0"
40041,SS,"FB,5,0|FB,5,0|FB,5,0|FB,5,0"
40046,SS,"FB,6,0|FB,6,0"
40053,SS,"FB,10,0"
40055,SS,"FB,5,0"
40058,SS,"FB,26,0"
40108,SS,"FB,6,0"
40112,SS,"MC,8,0"
40113,SS,"OE,4,0"
40115,SS,"OE,5,0"
40236,SS,"OE,5,0"
40237,SS,"MC,6,0"
40258,WB,"FB,7,0"
40262,WB,"FB,10,0"
40265,WB,"FB,12,0"
40267,WB,"FB,6,0"
40269,WB,"FB,13,0"
40283,WB,"FB,20,0"
40285,WB,"FB,18,0"
40289,WB,"FB,8,0"
40295,WB,"OE,1,0"
40309,LM,"MC,6,0"
40322,VM,"OE,1,0"
40324,VM,"FB,7,0"
40338,VM,"FB,5,0"
40340,VM,
40356,VM,"MC,6,0"
40534,SS,
40538,SS,"OE,8,0"
40541,SS,"FB,8,0"
40545,SS,"OE,6,0"
40547,SS,"DS,6,0"
40549,SS,"MC,6,0"
40555,SS,"MC,1,0"
40560,SS,"FB,12,0"
40563,SS,"FB,6,0"
40570,SS,"FB,8,0"
40572,SS,"FB,12,0"
40579,SS,"FB,8,0"
40581,SS,"DS,6,0"
40585,SS,"FB,6,0"
40589,SS,"DS,6,0"
40591,SS,"FB,4,0"
40593,SS,"MC,6,0"
40596,SS,"DS,20,0"
40600,SS,"FB,6,0"
40604,SS,"FB,9,0"
40607,SS,"FB,10,0"
40650,SS,"OE,5,0"
40726,WB,"DS,12,0"
40728,WB,"FB,10,0"
40731,WB,"FB,6,0"
40733,WB,"FB,6,0"
40735,WB,"FB,5,0"
40738,WB,"FB,8,0"
40746,WB,"FB,6,0"
40757,WB,"DS,6,0"
40761,WB,"DS,12,0"
40763,WB,"OE,1,0"
40768,WB,"FB,8,0"
40774,WB,"OE,1,0"
40807,LM,"MC,5,0"
40819,VM,
40822,VM,"FB,4,0"
40834,VM,"OE,1,0"
40855,GT,
40859,GT,
40909,SS,"DS,8,0"
40917,SS,"FB,7,0"
40918,SS,"OE,6,0"
40921,SS,"MC,10,0"
40922,SS,"DS,6,0"
40924,SS,
40925,SS,"MC,8,0"
40927,SS,"MC,6,0"
40928,SS,"OE,3,0"
40932,SS,"MC,5,0"
40938,SS,"FB,7,0|FB,7,0|FB,7,0|FB,7,0|FB,7,0|FB,7,0"
40940,SS,"FB,5,0"
40941,SS,"FB,5,0"
40944,SS,"MC,6,0"
40948,SS,"FB,6,0|FB,6,0"
40949,SS,"MC,8,0"
40951,SS,"FB,5,0"
40953,SS,
40958,SS,"FB,6,0"
40962,SS,"FB,12,0"
40963,SS,"DS,8,0"
40966,SS,"MC,8,0"
40968,SS,"MC,5,0"
40969,SS,"FB,8,0"
41019,SS,
41025,SS,"MC,10,0"
41031,SS,
41033,SS,
41036,SS,
41041,SS,"MC,10,0"
41048,SS,
41050,SS,"MC,8,0"
41065,GT,
41070,GT,
41089,WB,"FB,6,0"
41090,WB,"DS,16,0"
41095,WB,"FB,8,0"
41099,WB,"MC,8,0"
41102,WB,"FB,8,0"
41109,WB,"FB,12,0"
41115,WB,"FB,6,0"
41121,WB,"FB,6,0"
41127,WB,"FB,5,0"
41131,SS,"FB,8,0"
41134,WB,"FB,8,0"
41140,WB,"FB,6,0"
41144,WB,"FB,6,0"
41148,WB,"OE,5,0"
41149,WB,"OE,1,0"
41156,WB,"OE,10,0"
41158,WB,"DS,8,0"
41170,LM,"FB,4,0"
41182,LM,"MC,4,0"
41183,VM,"OE,2,0"
41184,VM,"FB,8,0"
41186,VM,
41189,VM,"OE,1,0"
41197,VM,"OE,3,0"
41204,VM,
41214,VM,"OE,2,0"
41220,VM,
41245,SS,"MC,10,0|FB,10,0"
41246,SS,"MC,10,0|FB,7,0|MC,3,0"
41250,SS,"FB,9,0|MC,5,0|FB,6,0"
41355,SS,"DS,8,0"
41358,SS,"MC,6,0"
41361,SS,"MC,10,0|FB,5,0|MC,5,0"
41362,SS,"DS,4,0"
41363,SS,"OE,6,0"
41369,SS,"FB,5,0"
41371,SS,"FB,8,0"
41374,SS,"FB,6,0|FB,6,0"
41377,SS,"MC,6,0"
41380,SS,"FB,14,0"
41392,SS,"FB,6,0"
41399,SS,"DS,6,0"
41426,SS,"MC,5,0"
41429,SS,"OE,6,0"
41466,GT,
41470,GT,
41485,SS,"DS,6,0"
41496,GT,
41498,LM,"DS,6,0"
41504,WB,"MC,12,0"
41509,WB,"FB,5,0"
41512,WB,"FB,6,0"
41519,WB,"FB,3,0"
41520,WB,"FB,10,0"
41522,WB,"FB,6,0"
41526,WB,"FB,8,0"
41538,WB,"FB,8,0"
41546,WB,"FB,5,0"
41547,WB,"FB,20,0"
41553,WB,"FB,6,0"
41559,WB,"FB,12,0"
41562,WB,"FB,10,0"
41564,WB,"FB,14,0"
41570,WB,"FB,6,0"
41576,WB,"FB,5,0"
41579,WB,"FB,5,0"
41589,WB,"OE,1,0"
41592,WB,"OE,1,0"
41654,VM,"OE,1,0"
41657,VM,"OE,2,0"
41661,VM,"OE,2,0"
41664,VM,"DS,11,0"
41666,VM,"OE,6,0"
41671,VM,"FB,6,0"
41679,VM,"MC,5,0"
41682,VM,"OE,1,0"
41735,SS,
41736,SS,
41737,SS,
41738,SS,
41744,SS,"OE,3,0"
41746,SS,"MC,5,0"
41760,VM,"FB,5,0"
41772,SS,"DS,8,0"
41773,SS,"FB,6,0"
41779,SS,"MC,5,0"
41780,SS,"MC,8,0"
41782,SS,"OE,5,0"
41783,SS,"MC,10,0"
41784,SS,"MC,8,0"
41793,SS,"MC,6,0"
41798,SS,"MC,6,0"
41804,SS,"MC,5,0"
41806,SS,"FB,10,0"
41809,SS,"FB,13,0"
41812,SS,"FB,11,0"
41814,SS,"DS,6,0"
41816,SS,"FB,5,0"
41817,SS,"FB,6,0"
41847,SS,"MC,10,0"
41849,SS,"OE,6,0"
41863,SS,"MC,10,0"
41885,SS,"MC,8,0"
41892,SS,
41893,SS,
41894,SS,
41902,SS,"MC,6,0"
41905,SS,"FB,11,0"
41916,SS,"FB,6,0"
41917,SS,"OE,8,0"
41930,GT,
41934,GT,
41938,GT,
41943,WB,"MC,8,0"
41945,WB,"MC,6,0"
41946,SS,"FB,5,0"
41949,SS,"MC,5,0"
41957,SS,"DS,6,0"
41970,SS,"MC,10,0"
41974,SS,"MC,6,0"
41977,SS,"OE,3,0"
41991,SS,"MC,6,0"
41994,SS,"FB,6,0|FB,6,0"
42001,SS,"FB,10,0"
42003,SS,"FB,5,0"
42006,SS,"FB,16,0"
42008,SS,"FB,8,0"
42010,SS,"FB,7,0"
42017,SS,"FB,20,0"
42032,SS,"FB,6,0"
42035,SS,"FB,5,0"
42037,SS,"FB,6,0"
42066,SS,"MC,5,0"
42068,SS,"OE,5,0"
42071,WB,"FB,7,0"
42080,WB,"FB,10,0"
42085,WB,"FB,5,0"
42090,WB,"OE,1,0"
42095,WB,"FB,10,0"
42098,WB,"FB,6,0"
42105,WB,"FB,10,0"
42108,WB,"FB,6,0"
42115,SS,"FB,6,0"
42117,WB,"FB,5,0"
42122,WB,"FB,6,0"
42136,WB,"FB,4,0"
42141,WB,"FB,6,0"
42150,WB,"FB,10,0"
42165,WB,"FB,18,0"
42177,WB,"FB,6,0"
42181,WB,"FB,10,0"
42182,WB,"FB,15,0"
42184,WB,"FB,10,0"
42188,WB,"MC,6,0"
42198,WB,"FB,8,0"
42202,WB,"FB,6,0"
42211,WB,"FB,6,0"
42469,VM,"MC,5,0"
42484,VM,
42487,VM,"OE,1,0"
42491,VM,"MC,10,0"
42495,VM,"MC,8,0"
42501,VM,
42511,VM,"FB,6,0"
42515,VM,"OE,1,0"
42516,VM,
42517,VM,"FB,6,0"
42519,VM,"MC,10,0"
42521,VM,
42534,VM,"DS,6,0"
42540,VM,"OE,1,0"
42548,WB,"FB,8,0"
42556,SS,"MC,10,0|FB,6,0|MC,4,0"
42567,VM,"MC,6,0"
42723,WB,"MC,6,0"
42724,SS,"MC,6,0"
42727,SS,"FB,8,0"
42728,SS,"FB,9,0"
42731,SS,"MC,5,0"
42734,SS,"DS,6,0"
42737,SS,"MC,9,0"
42739,SS,"MC,7,0"
42747,SS,"MC,10,0"
42750,SS,"OE,8,0"
42756,SS,"OE,3,0"
42760,SS,"MC,4,0"
42761,SS,"OE,5,0"
42762,SS,"MC,8,0"
42765,SS,"MC,8,0"
42767,SS,"FB,8,0"
42769,SS,"OE,1,0"
42771,SS,"FB,8,0"
42776,SS,"MC,6,0"
42778,SS,"FB,8,0"
42783,SS,"FB,16,0"
42785,SS,"FB,9,0"
42786,SS,"FB,9,0"
42796,SS,"FB,11,0"
42801,SS,"FB,14,0"
42809,SS,"MC,6,0"
42810,SS,"FB,8,0"
42828,SS,"MC,5,0|FB,9,0|FB,7,0"
42849,SS,"FB,32,0"
42868,SS,"MC,4,0"
42869,SS,"OE,4,0"
42891,SS,"FB,9,0"
42893,SS,"FB,9,0"
42897,SS,"MC,6,0"
42941,WB,"DS,4,0|FB,4,0"
42943,SS,"OE,4,0"
42944,WB,"FB,6,0"
42947,WB,"FB,12,0"
42948,WB,"FB,6,0"
42950,WB,"FB,4,0"
42951,WB,"FB,6,0"
42955,WB,"FB,6,0"
42956,WB,"FB,6,0"
42957,WB,"FB,7,0"
42959,WB,"FB,8,0"
