package_id,privilege_id,months_duration
37,80,36
38,80,36
39,80,36
40,80,36
41,80,36
37,77,36
39,77,36
40,77,36
41,77,36
42,83,18
42,82,18
43,133,18
44,134,18
45,135,18
50,86,18
51,86,18
53,86,18
54,86,18
93,86,18
51,85,18
54,85,18
93,85,18
50,87,18
51,87,18
53,87,18
54,87,18
93,87,18
50,84,18
50,174,18
51,84,18
53,84,18
54,84,18
55,91,18
56,91,18
94,91,18
56,90,18
94,90,18
55,92,18
56,92,18
94,92,18
55,89,18
55,175,18
56,89,18
57,96,36
58,96,36
60,96,36
61,96,36
95,96,36
57,93,36
58,93,36
60,93,36
61,93,36
95,93,36
58,95,36
61,95,36
95,95,36
57,97,36
58,97,36
60,97,36
61,97,36
95,97,36
57,94,36
58,94,36
60,94,36
61,94,36
62,101,18
63,101,18
96,101,18
63,100,18
96,100,18
62,102,18
63,102,18
96,102,18
62,99,18
63,99,18
64,106,36
65,106,36
67,106,36
68,106,36
97,106,36
65,105,36
68,105,36
97,105,36
64,107,36
65,107,36
67,107,36
68,107,36
97,107,36
64,104,36
65,104,36
67,104,36
68,104,36
69,111,18
70,111,18
98,111,18
70,110,18
98,110,18
69,112,18
70,112,18
98,112,18
69,109,18
70,109,18
71,115,36
72,115,36
74,115,36
75,115,36
99,115,36
72,114,36
75,114,36
99,114,36
71,116,36
72,116,36
74,116,36
75,116,36
99,116,36
71,113,36
72,113,36
74,113,36
75,113,36
78,120,36
79,120,36
101,120,36
79,119,36
101,119,36
78,121,36
79,121,36
101,121,36
78,118,36
79,118,36
80,125,36
81,125,36
102,125,36
81,124,36
102,124,36
80,126,36
81,126,36
102,126,36
80,123,36
81,123,36
82,130,36
83,130,36
103,130,36
83,129,36
103,129,36
82,131,36
83,131,36
103,131,36
82,128,36
83,128,36
1,136,0
2,137,0
3,138,
4,139,
5,140,
6,140,
7,141,
8,142,
9,142,
10,143,
11,143,
12,144,
13,144,
14,145,
15,145,
84,145,
85,145,
86,145,
16,146,
17,147,
18,147,
87,147,
88,147,
89,147,
19,148,
20,148,
90,148,
91,148,
92,148,
21,149,
22,149,
23,149,
24,150,
29,150,
25,151,
30,151,
26,152,
31,152,
27,153,
28,153,
46,153,
47,153,
32,154,
33,154,
34,154,
35,154,
36,154,
37,155,
38,155,
39,155,
40,155,
41,155,
48,155,
49,155,
42,156,
43,157,
44,158,
45,159,
50,160,
51,160,
52,160,
53,160,
54,160,
93,160,
55,161,
56,161,
94,161,
57,162,
58,162,
59,162,
60,162,
61,162,
95,162,
62,163,
63,163,
96,163,
64,164,
65,164,
66,164,
67,164,
68,164,
97,164,
69,165,
70,165,
98,165,
100,166,
71,166,
72,166,
73,166,
74,166,
75,166,
76,166,
77,166,
99,166,
101,167,
78,167,
79,167,
102,168,
80,168,
81,168,
103,169,
82,169,
83,169,
106,171,
106,150,
106,151,
106,152,
107,171,
107,149,
137,166,
108,171,
108,155,
109,171,
109,145,
109,148,
109,147,
110,171,
110,154,
111,171,
111,164,
112,172,
114,136,
115,137,
116,138,
117,139,
118,140,
119,141,
120,142,
121,143,
122,144,
123,146,
125,153,
126,156,
127,159,
128,160,
129,161,
130,162,
131,163,
132,164,
133,165,
135,157,
135,158,
136,167,
136,168,
136,169,
114,171,
115,171,
116,171,
117,171,
118,171,
119,171,
120,171,
121,171,
122,171,
123,171,
125,171,
126,171,
127,171,
128,171,
129,171,
130,171,
131,171,
132,171,
133,171,
135,171,
136,171,
137,171,
138,145,
138,25,36
138,26,36
138,27,36
138,28,36
138,29,36
139,148,
139,38,36
139,39,36
139,40,36
139,41,36
139,42,36
140,147,
140,32,36
140,33,36
140,34,36
140,35,36
140,36,36
51,174,18
53,174,18
54,174,18
93,174,18
56,175,18
94,175,18
141,171,
141,172,
145,172,
145,176,36
145,178,36
145,179,36
146,173,
146,181,36
146,183,36
146,184,36
147,171,
147,173,
149,191,
149,192,36
149,194,36
149,195,36
150,171,
150,191,
151,171,
151,185,
152,185,
152,187,36
152,189,36
152,190,36
153,173,
153,180,18
153,181,18
153,183,18
153,184,18
153,196,24
154,185,
154,187,36
154,189,36
154,190,36
154,198,36
158,171,
158,199,
159,199,
159,201,36
159,203,36
159,204,36
161,171,
161,205,
162,205,
162,206,36
162,208,36
162,209,36
168,171,
168,210,
169,210,
169,211,36
169,213,36
170,171,
170,214,
171,214,
171,215,36
171,217,36
171,218,36
174,171,
174,219,
175,219,
175,220,24
175,221,24
175,222,24
176,171,
176,223,
177,223,
177,224,36
177,225,36
177,226,36
42,227,18
171,228,36
180,172,
180,229,36
181,173,
181,230,36
182,199,
182,231,36
183,185,
183,232,36
184,191,
184,233,36
185,205,
185,234,36
186,210,
186,235,36
187,214,
187,236,36
188,219,
188,237,24
189,223,
189,238,36
146,180,18
153,180,18
159,200,18
152,186,36
154,186,36
190,172,
190,176,36
190,177,36
190,178,36
190,179,36
190,229,36
191,173,
191,180,36
191,181,36
191,182,36
191,183,36
191,184,36
191,230,36
192,173,
192,180,36
192,181,36
192,182,36
192,183,36
192,184,36
192,196,36
192,230,36
193,199,
193,200,36
193,201,36
193,202,36
193,203,36
193,204,36
193,231,36
194,185,
194,186,36
194,187,36
194,188,36
194,189,36
194,190,36
194,232,36
195,185,
195,186,36
195,187,36
195,188,36
195,189,36
195,190,36
195,198,36
195,232,36
196,191,
196,192,36
196,193,36
196,194,36
196,195,36
196,233,36
197,205,
197,206,36
197,207,36
197,208,36
197,209,36
197,234,36
198,210,
198,211,36
198,213,36
198,235,36
200,214,
200,215,36
200,216,36
200,217,36
200,218,36
200,236,36
202,219,
202,220,24
202,221,24
202,222,24
202,237,24
203,223,
203,224,36
203,225,36
203,226,36
203,238,36
204,118,36
204,120,36
204,121,36
204,167,
204,239,18
205,123,36
205,125,36
205,126,36
205,168,
205,240,18
206,128,36
206,130,36
206,131,36
206,169,
206,241,18
207,118,36
207,119,36
207,120,36
207,121,36
207,167,
207,239,18
208,123,36
208,124,36
208,125,36
208,126,36
208,168,
208,240,18
209,128,36
209,129,36
209,130,36
209,131,36
209,169,
209,241,18
210,79,12
210,78,12
210,80,12
210,77,12
210,155,
210,81,12
211,79,12
211,80,12
211,77,12
211,155,
211,81,12
212,214,6
212,215,6
212,217,6
212,218,6
212,228,6
213,214,
213,215,36
213,217,36
213,218,36
213,228,36
213,236,36
213,242,36
213,216,36
214,185,
214,186,6
214,187,6
214,188,6
214,189,6
214,190,6
214,197,6
214,198,6
214,232,6
215,191,
215,192,36
215,193,36
215,194,36
215,195,36
215,233,36
215,243,36
216,185,6
216,186,6
216,187,6
216,189,6
216,190,6
216,197,6
217,185,6
217,186,6
217,187,6
217,188,6
217,189,6
217,190,6
217,197,6
217,232,6
154,197,36
218,185,
218,187,6
218,189,6
218,190,6
218,197,6
218,198,6
219,166,
219,113,12
219,114,12
219,115,12
219,116,12
219,117,12
220,166,
220,113,12
220,115,12
220,116,12
220,117,12
221,191,
221,192,36
221,194,36
221,195,36
221,243,36
222,214,
222,215,6
222,216,6
222,217,6
222,218,6
222,228,6
222,236,6
223,214,
223,215,6
223,217,6
223,218,6
223,228,6
223,242,6
224,214,
224,215,6
224,216,6
224,217,6
224,218,6
224,228,6
224,236,6
224,242,6
225,214,
225,215,36
225,217,36
225,218,36
225,228,36
225,242,36
226,185,
226,186,12
226,187,12
226,189,12
226,190,12
226,197,12
227,185,
227,186,12
227,187,12
227,188,12
227,189,12
227,190,12
227,197,12
227,232,12
228,185,
228,186,12
228,187,12
228,189,12
228,190,12
228,197,12
228,198,12
229,185,
229,186,12
229,187,12
229,188,12
229,189,12
229,190,12
229,197,12
229,198,12
229,232,12
180,177,36
181,182,36
182,202,36
183,188,36
184,193,36
185,207,36
187,216,36
230,185,
230,232,12
230,188,12
231,185,
231,232,6
231,188,6
500,500,
501,170
